year,20_BP,20_US,95_BP,95_US
2007.0,0.0,0.0,0.0,0.0
2008.0,-11.465227988944747,-2.1725061197685847,6.512886289314324,-0.1571580180236083
2009.0,-14.113989513516344,-6.066193160181385,-9.04854677192617,-5.053480564877717
2010.0,-21.826291402399264,-8.851658021397512,-12.368059521313725,-8.46127352167693
2011.0,-22.448003893493237,-12.610013802580909,-17.044388332227584,-7.668517854372254
2012.0,-21.346939165861727,-13.03218913711271,-6.707930812347755,-7.232474622611008
2013.0,-22.49768081398554,-12.8966952984659,-6.4794989610553415,-2.835263530232041
2014.0,-19.290917946226784,-11.960653342973771,-3.156281188851324,-2.5515644098093873
2015.0,-20.3322881716973,-8.309640925951172,-8.510728526387297,2.404126975806321
2016.0,-13.646447281511541,-7.066593692090592,-5.479105357897453,4.945086357194455
